t,count
1386276182,-1
1386276183,5
1386276183,2
1386291763,3
1386291763,-1
1386291763,1
1386291764,1
1386291764,1
1386291764,7
1386291765,8
1386291765,3
1386291765,2
1386291766,8
1386291766,6
1386291766,6
1386291767,0
1386291767,1
1386291767,8
1386316548,6
1386316548,2
1386316548,0
1386316549,5
1386316549,4
1386316549,3
1386316550,7
1386316550,6
1386316550,6
1386316551,4
1386316551,8
1386316551,7
1386316552,2
1386316552,8
1386316552,0
1386316553,4
1386316553,3
1386316553,1
1386316554,5
1386316554,7
1386316554,3
1386316555,-1
1386316555,4
1386316555,4
1386316556,8
1386316556,0
1386316556,8
1386316557,7
1386316557,5
1386316557,5
1386316558,3
1386317497,2
1386317497,1
1386317497,2
1386317498,2
1386317498,1
1386317498,7
1386317702,0
1386317703,0
1386317703,0
1386317703,0
1386317704,0
1386317704,0
1386317704,0
1386317705,0
1386317705,0
1386317705,0
1386317706,0
1386317706,0
1386317706,0
1386317707,0
1386317707,0
1386317707,0
1386317708,0
1386317708,0
1386317708,0
1386317709,0
1386317709,0
1386317709,0
1386317710,0
1386317710,0
1386317710,0
1386317711,0
1386317711,0
1386317711,0
1386317712,0
1386317712,0
1386317712,3
1386317713,3
1386317713,3
1386317713,4
1386317714,4
1386317714,4
1386317714,1
1386317715,7
1386317715,4
1386317715,7
1386317716,3
1386317716,6
1386317716,1
1386317717,3
1386317717,6
1386317717,2
1386317742,3
1386317743,7
1386317743,0
1386317743,3
1386317744,0
1386317744,6
1386317744,7
1386317745,2
1386317746,-1
1386317747,-1
1386317747,-1
1386317747,-1
1386317748,-1
1386317748,-1
1386317748,-1
1386317749,-1
1386317749,-1
1386317749,-1
1386317750,-1
1386317750,-1
1386317750,-1
1386317751,-1
1386317751,-1
1386317751,-1
1386317752,-1
1386317752,-1
1386317753,-1
1386317753,-1
1386317753,-1
1386317754,-1
1386317754,-1
1386317754,-1
1386317755,-1
1386317755,-1
1386317755,-1
1386317756,-1
1386317756,-1
1386317756,-1
1386317757,-1
1386317757,-1
1386317757,-1
1386317758,-1
1386317758,-1
1386317758,-1
1386317759,-1
1386317759,-1
1386317759,-1
1386317760,-1
1386317760,-1
1386317760,-1
1386317761,-1
1386317761,-1
1386317761,-1
1386317762,-1
1386317762,-1
1386317762,-1
1386317763,-1
1386317763,-1
1386317763,-1
1386317764,-1
1386317764,-1
1386317764,-1
1386317765,-1
1386317765,-1
1386317765,-1
1386317766,-1
1386317766,-1
1386317766,-1
1386317767,3
1386317767,3
1386317767,3
1386317768,3
1386317768,3
1386317768,3
1386317769,3
1386317769,3
1386317769,3
1386317770,3
1386317770,3
1386317770,3
1386317771,3
1386317771,3
1386317771,3
1386317772,3
1386317772,3
1386317772,3
1386317773,3
1386317773,3
1386317773,3
1386317774,3
1386317774,3
1386317774,3
1386317775,3
1386317775,3
1386317775,3
