t,count
1386276182,1
1386276183,1
1386276183,2
1386291763,1
1386291763,1
1386291763,2
1386291764,3
1386291764,3
1386291764,4
1386291765,5
1386291765,5
1386291765,6
1386291766,7
1386291766,7
1386291766,8
1386291767,9
1386291767,9
1386291767,10
1386316548,1
1386316548,1
1386316548,2
1386316549,3
1386316549,3
1386316549,4
1386316550,5
1386316550,5
1386316550,6
1386316551,7
1386316551,7
1386316551,8
1386316552,9
1386316552,9
1386316552,10
1386316553,11
1386316553,11
1386316553,12
1386316554,13
1386316554,13
1386316554,14
1386316555,15
1386316555,15
1386316555,16
1386316556,17
1386316556,17
1386316556,18
1386316557,19
1386316557,19
1386316557,20
1386316558,21
1386317497,1
1386317497,1
1386317497,2
1386317498,3
1386317498,3
1386317498,4
1386317702,1
1386317703,1
1386317703,2
1386317703,3
1386317704,3
1386317704,4
1386317704,5
1386317705,5
1386317705,6
1386317705,7
1386317706,7
1386317706,8
1386317706,9
1386317707,9
1386317707,10
1386317707,11
1386317708,11
1386317708,12
1386317708,13
1386317709,13
1386317709,14
1386317709,15
1386317710,15
1386317710,16
1386317710,17
1386317711,17
1386317711,18
1386317711,19
1386317712,19
1386317712,20
1386317712,21
1386317713,21
1386317713,22
1386317713,23
1386317714,23
1386317714,24
1386317714,25
1386317715,25
1386317715,26
1386317715,27
1386317716,27
1386317716,28
1386317716,29
1386317717,29
1386317717,30
1386317717,31
1386317742,1
1386317743,1
1386317743,2
1386317743,3
1386317744,3
1386317744,4
1386317744,5
1386317745,5
1386317746,1
1386317747,1
1386317747,2
1386317747,3
1386317748,3
1386317748,4
1386317748,5
1386317749,5
1386317749,6
1386317749,7
1386317750,7
1386317750,8
1386317750,9
1386317751,9
1386317751,10
1386317751,11
1386317752,11
1386317752,12
1386317753,13
1386317753,13
1386317753,14
1386317754,15
1386317754,15
1386317754,16
1386317755,17
1386317755,17
1386317755,18
1386317756,19
1386317756,19
1386317756,20
1386317757,21
1386317757,21
1386317757,22
1386317758,23
1386317758,23
1386317758,24
1386317759,25
1386317759,25
1386317759,26
1386317760,27
1386317760,27
1386317760,28
1386317761,29
1386317761,29
1386317761,30
1386317762,31
1386317762,31
1386317762,32
1386317763,33
1386317763,33
1386317763,34
1386317764,35
1386317764,35
1386317764,36
1386317765,37
1386317765,37
1386317765,38
1386317766,39
1386317766,39
1386317766,40
1386317767,41
1386317767,41
1386317767,42
1386317768,43
1386317768,43
1386317768,44
1386317769,45
1386317769,45
1386317769,46
1386317770,47
1386317770,47
1386317770,48
1386317771,49
1386317771,49
1386317771,50
1386317772,51
1386317772,51
1386317772,52
1386317773,53
1386317773,53
1386317773,54
1386317774,55
1386317774,55
1386317774,56
1386317775,57
1386317775,57
1386317775,58
1386317776,59
1386317776,59
1386317776,60
1386317777,61
1386317777,61
1386317777,62
1386317778,62
1386317778,63
1386317778,64
1386317779,64
1386317779,65
1386317779,66
1386317780,66
1386317780,67
1386317780,68
1386317781,68
1386317781,69
1386317781,70
1386317782,70
1386317782,71
1386317782,72
1386317783,72
1386317783,73
1386317783,74
1386317784,74
1386317784,75
1386317784,76
1386317785,76
1386317785,77
1386317785,78
1386317786,78
1386317786,79
1386317786,80
1386317787,80
1386317787,81
1386317787,82
1386317788,82
1386317788,83
1386317788,84
1386317789,84
1386317789,85
1386317790,86
1386317790,86
1386317790,87
1386317791,88
1386317791,88
1386317791,89
1386317792,90
1386317792,90
1386317792,91
1386317793,92
1386317793,92
1386317793,93
1386317794,94
1386317794,94
1386317794,95
1386317795,96
1386317795,96
1386317795,97
1386317796,98
1386317796,98
1386317796,99
1386317797,100
1386317797,100
1386317797,101
1386317798,102
1386317798,102
1386317798,103
1386317799,104
1386317799,104
1386317799,105
1386317800,106
1386317800,106
1386317800,107
1386317801,108
1386317801,108
1386317801,109
1386317802,110
1386317802,110
1386317802,111
1386317803,112
1386317803,112
1386317803,113
1386317804,114
1386317804,114
1386317804,115
1386317805,116
1386317805,116
1386317805,117
1386317806,118
1386317806,118
1386317806,119
1386317807,120
1386317807,120
1386317807,121
1386317808,122
1386317808,122
1386317808,123
1386317809,124
1386317809,124
1386317809,125
1386317810,126
1386317810,126
1386317810,127
1386317811,128
1386317811,128
1386317811,129
1386317812,130
1386317812,130
1386317812,131
1386317813,132
1386317813,132
1386317813,133
1386317814,134
1386317814,134
1386317814,135
1386317815,136
1386317815,136
1386317815,137
1386317816,138
1386317816,138
1386317816,139
1386317817,140
1386317817,140
1386317817,141
1386317818,142
1386317818,142
1386317818,143
1386317819,144
1386317819,144
1386317819,145
1386317820,146
1386317820,146
1386317820,147
1386317821,148
1386317821,148
1386317821,149
1386317822,150
1386317822,150
1386317822,151
1386317823,152
1386317823,152
1386317823,153
1386317824,154
1386317824,154
1386317824,155
1386317825,156
1386317825,156
1386317825,157
1386317826,157
1386317826,158
1386317826,159
1386317827,159
1386317827,160
1386317827,161
1386317828,161
1386317828,162
1386317828,163
1386317829,163
1386317829,164
1386317829,165
1386317830,165
1386317830,166
1386317830,167
1386317831,167
1386317831,168
1386317831,169
1386317832,169
1386317832,170
1386317832,171
1386317833,171
1386317833,172
1386317833,173
1386317834,173
1386317834,174
1386317834,175
1386317835,175
1386317835,176
1386317835,177
1386317836,177
1386317836,178
1386317836,179
1386317837,179
1386317837,180
1386317837,181
1386317838,181
1386317838,182
1386317838,183
1386317839,183
1386317839,184
1386317839,185
1386317840,185
1386317840,186
1386317840,187
1386317841,187
1386317841,188
1386317841,189
1386317842,189
1386317842,190
1386317842,191
1386317843,191
1386317843,192
1386317844,193
1386317844,193
1386317844,194
1386317845,195
1386317845,195
1386317845,196
1386317846,197
1386317846,197
1386317846,198
1386317847,199
1386317847,199
1386317847,200
1386317848,201
1386317848,201
1386317848,202
1386317849,203
1386317849,203
1386317849,204
1386317850,205
1386317850,205
1386317850,206
1386317851,207
1386317851,207
1386317851,208
1386317852,209
1386317852,209
1386317852,210
1386317853,211
1386317853,211
1386317853,212
1386317854,213
1386317854,213
1386317854,214
1386317855,215
1386317855,215
1386317855,216
1386317856,217
1386317856,217
1386317856,218
1386317857,219
1386317857,219
1386317857,220
1386317858,221
1386317858,221
1386317858,222
1386317859,223
1386317859,223
1386317859,224
1386317860,225
1386317860,225
1386317860,226
1386317861,227
1386317861,227
1386317861,228
1386317862,229
1386317862,229
1386317862,230
1386317863,231
1386317863,231
1386317863,232
1386317864,233
1386317864,233
1386317864,234
1386317865,235
1386317865,235
1386317865,236
1386317866,237
1386317866,237
1386317866,238
1386317867,239
1386317867,239
1386317867,240
1386317868,241
1386317868,241
1386317868,242
1386317869,243
1386317869,243
1386317869,244
1386317870,245
1386317870,245
1386317870,246
1386317871,247
1386317871,247
1386317871,248
1386317872,249
1386317872,249
1386317872,250
